"Termo (Front)","Definição (Back)"
"Assets","Ativos. Qualquer peça reutilizável de software (APIs, conectores, templates) armazenada no Exchange."
"Templates","Modelos. Projetos pré-configurados que servem como ponto de partida para acelerar o desenvolvimento."
"Fragments","Fragmentos. Partes reutilizáveis de uma especificação de API (RAML/OAS), como tipos de dados ou exemplos."
"Connectors","Conectores. Componentes prontos que facilitam a comunicação com sistemas específicos (SAP, Salesforce, Slack)."
"Sub-flows","Sub-fluxos. Partes de um fluxo Mule que podem ser chamadas por outros fluxos para evitar duplicidade de lógica."
"API-Led Connectivity","Conectividade orientada a APIs. Padrão de 3 camadas (System, Process, Experience) que maximiza a reutilização."
"Composable Architecture","Arquitetura Montável. Estilo de design onde soluções são criadas combinando ativos independentes como blocos de Lego."
"Discovery","Descoberta. O processo de encontrar ativos já existentes no Exchange para evitar o retrabalho."
"Encapsulation","Encapsulamento. Técnica de esconder a complexidade de um sistema legado atrás de uma API simples e segura."
"Anypoint Exchange","Exchange. O marketplace central da MuleSoft para descobrir, compartilhar e testar ativos de integração."
"To Publish","Publicar. O ato de disponibilizar um ativo no Exchange para que outros desenvolvedores possam usá-lo."
"To Share","Compartilhar. Distribuir acesso a ativos entre diferentes equipes ou unidades de negócio (Business Units)."
"Invocable Action","Ação Invocável. Recurso que permite que um robô de RPA ou um fluxo de integração seja chamado diretamente de dentro do Salesforce Flow."